Data,Cliques,Impressões,CTR,Posição
2025-11-30,1,3,33.33%,1.7
2025-12-01,2,7,28.57%,2.6
2025-12-02,2,6,33.33%,1
2025-12-03,2,8,25%,1
2025-12-04,4,11,36.36%,2.5
2025-12-05,0,8,0%,1.9
2025-12-06,0,10,0%,47
2025-12-07,1,5,20%,2.6
2025-12-08,2,15,13.33%,1.9
2025-12-09,4,7,57.14%,1.1
2025-12-10,1,9,11.11%,1.1
2025-12-11,2,12,16.67%,3.5
2025-12-12,0,5,0%,6
2025-12-13,0,3,0%,6
2025-12-14,0,4,0%,11
2025-12-15,0,5,0%,1
2025-12-16,2,15,13.33%,1.4
2025-12-17,2,8,25%,5.6
2025-12-18,0,4,0%,1
2025-12-19,0,9,0%,2.9
2025-12-20,0,5,0%,2.6
2025-12-21,1,1,100%,1
2025-12-22,3,6,50%,1.2
2025-12-23,0,6,0%,1.8
2025-12-24,2,7,28.57%,3.9
2025-12-25,1,2,50%,1
2025-12-26,1,4,25%,1.5
2025-12-27,0,2,0%,1
2025-12-28,0,3,0%,1.3
2025-12-29,2,11,18.18%,1.7
2025-12-30,1,4,25%,3.8
2025-12-31,0,2,0%,1
2026-01-01,1,2,50%,2
2026-01-02,2,2,100%,1
2026-01-03,2,3,66.67%,1
2026-01-04,0,1,0%,2
2026-01-05,3,5,60%,1.4
2026-01-06,2,9,22.22%,1.3
2026-01-07,0,2,0%,1.5
2026-01-08,1,10,10%,1.1
2026-01-09,5,11,45.45%,1.2
2026-01-10,0,1,0%,1
2026-01-11,0,12,0%,2.4
2026-01-12,2,8,25%,1.5
2026-01-13,1,7,14.29%,3.7
2026-01-14,3,9,33.33%,1.9
2026-01-15,1,7,14.29%,2.9
2026-01-16,0,10,0%,4.2
2026-01-17,2,14,14.29%,2.2
2026-01-18,0,5,0%,2
2026-01-19,0,3,0%,3.7
2026-01-20,6,11,54.55%,1.4
2026-01-21,1,7,14.29%,2.4
2026-01-22,1,8,12.5%,1
2026-01-23,0,6,0%,2.5
2026-01-24,1,6,16.67%,5.5
2026-01-25,1,5,20%,1.8
2026-01-26,0,5,0%,2.2
2026-01-27,1,5,20%,1
2026-01-28,0,5,0%,1
2026-01-29,0,4,0%,1.2
2026-01-30,0,5,0%,2.4
2026-01-31,4,7,57.14%,13.7
2026-02-01,0,1,0%,4
2026-02-02,2,19,10.53%,1.9
2026-02-03,5,7,71.43%,1.9
2026-02-04,3,13,23.08%,4.5
2026-02-05,3,15,20%,2
2026-02-06,2,5,40%,1.2
2026-02-07,1,3,33.33%,1.7
2026-02-08,3,8,37.5%,2.4
2026-02-09,6,11,54.55%,1.5
2026-02-10,1,13,7.69%,3
2026-02-11,2,11,18.18%,4.5
2026-02-12,3,10,30%,2.1
2026-02-13,0,5,0%,1.4
2026-02-14,0,8,0%,5
2026-02-15,2,8,25%,1.5
2026-02-16,0,3,0%,5.7
2026-02-17,0,3,0%,2.7
2026-02-18,2,8,25%,2.2
2026-02-19,1,9,11.11%,4.9
2026-02-20,0,6,0%,3.5
2026-02-21,0,7,0%,10.7
2026-02-22,1,8,12.5%,6
2026-02-23,2,20,10%,1.5
2026-02-24,2,6,33.33%,4.3
2026-02-25,2,14,14.29%,3.6
2026-02-26,0,8,0%,4.9
2026-02-27,1,12,8.33%,2.5
2026-02-28,0,2,0%,5
2026-03-01,0,2,0%,3
2026-03-02,2,15,13.33%,3
2026-03-03,3,8,37.5%,1.1
2026-03-04,0,7,0%,1
2026-03-05,0,4,0%,3.2
2026-03-06,4,10,40%,5.5
2026-03-07,0,2,0%,2
2026-03-08,0,1,0%,1
2026-03-09,2,8,25%,1.1
2026-03-10,2,9,22.22%,2.7
2026-03-11,1,11,9.09%,26.4
2026-03-12,3,8,37.5%,1
2026-03-13,2,9,22.22%,1
2026-03-14,2,12,16.67%,5.2
2026-03-15,1,5,20%,1.2
2026-03-16,1,9,11.11%,1.8
2026-03-17,1,13,7.69%,2.2
2026-03-18,0,6,0%,1
2026-03-19,0,3,0%,2
2026-03-20,3,13,23.08%,1.5
2026-03-21,1,4,25%,3.2
2026-03-22,0,2,0%,1
2026-03-23,0,8,0%,3.6
2026-03-24,3,7,42.86%,1
2026-03-25,2,10,20%,1.8
2026-03-26,2,12,16.67%,1.7
2026-03-27,2,18,11.11%,2
2026-03-28,2,9,22.22%,2.8
2026-03-29,0,3,0%,2.3
2026-03-30,1,13,7.69%,1.8
2026-03-31,1,6,16.67%,3.5
2026-04-01,2,6,33.33%,1.8
2026-04-02,0,12,0%,7.7
2026-04-03,1,2,50%,1
2026-04-04,0,4,0%,1
2026-04-05,1,6,16.67%,1.7
2026-04-06,1,5,20%,2.6
2026-04-07,2,12,16.67%,1.7
2026-04-08,3,10,30%,1.8
2026-04-09,1,13,7.69%,1.8
2026-04-10,2,10,20%,1.7
2026-04-11,0,7,0%,10.9
2026-04-12,0,4,0%,4.8
2026-04-13,1,2,50%,1
2026-04-14,2,5,40%,1
2026-04-15,1,11,9.09%,1.4
2026-04-16,1,8,12.5%,1
2026-04-17,4,14,28.57%,1
2026-04-18,1,5,20%,1.2
2026-04-19,3,6,50%,1.2
2026-04-20,4,13,30.77%,2.1
2026-04-21,4,7,57.14%,2.4
2026-04-22,5,17,29.41%,1.3
2026-04-23,2,6,33.33%,2.5
2026-04-24,0,3,0%,1.3
2026-04-25,0,2,0%,1
2026-04-26,1,2,50%,1.5
2026-04-27,1,8,12.5%,3.1
2026-04-28,2,9,22.22%,3.6
2026-04-29,3,9,33.33%,1.1
2026-04-30,0,16,0%,6.2
2026-05-01,0,4,0%,3
2026-05-02,1,3,33.33%,4
2026-05-03,0,5,0%,3
2026-05-04,2,14,14.29%,1.2
2026-05-05,1,5,20%,2.6
2026-05-06,0,10,0%,4.5
2026-05-07,1,6,16.67%,2.5
2026-05-08,3,10,30%,3.8
2026-05-09,1,6,16.67%,7.8
2026-05-10,0,12,0%,4.6
2026-05-11,3,14,21.43%,2.4
2026-05-12,0,4,0%,3
2026-05-13,2,6,33.33%,1.5
2026-05-14,1,16,6.25%,1.2
2026-05-15,2,11,18.18%,4
2026-05-16,0,3,0%,3.3
2026-05-17,0,13,0%,1.2
2026-05-18,1,11,9.09%,2.1
2026-05-19,0,7,0%,5.7
2026-05-20,0,8,0%,3.1
2026-05-21,1,5,20%,1.8
2026-05-22,2,11,18.18%,2.3
2026-05-23,1,6,16.67%,4.5
2026-05-24,1,7,14.29%,3.9
2026-05-25,1,10,10%,3.4
2026-05-26,2,19,10.53%,2.1
2026-05-27,2,12,16.67%,1.8
2026-05-28,9,16,56.25%,1.9
2026-05-29,6,15,40%,1.9
2026-05-30,6,19,31.58%,2.1
2026-05-31,2,8,25%,1.2
2026-06-01,1,7,14.29%,7
2026-06-02,10,36,27.78%,2.6
2026-06-03,10,27,37.04%,4.7
2026-06-04,7,21,33.33%,7.4
2026-06-05,3,15,20%,4.1
2026-06-06,2,12,16.67%,9.2
2026-06-07,1,12,8.33%,6.8
2026-06-08,3,10,30%,3.1
2026-06-09,8,15,53.33%,1.9
2026-06-10,8,36,22.22%,2
2026-06-11,7,25,28%,2.2
2026-06-12,5,21,23.81%,1.5
2026-06-13,3,16,18.75%,3
2026-06-14,2,13,15.38%,10.8
2026-06-15,3,14,21.43%,7.9
2026-06-16,4,12,33.33%,10
2026-06-17,5,25,20%,28.7
2026-06-18,2,22,9.09%,10.4
2026-06-19,8,21,38.1%,5.3
2026-06-20,0,18,0%,15.8
2026-06-21,3,12,25%,11.8
2026-06-22,4,19,21.05%,7.1
2026-06-23,5,20,25%,3.3
2026-06-24,5,19,26.32%,11.1
2026-06-25,5,22,22.73%,4.3
2026-06-26,4,23,17.39%,7.2
2026-06-27,3,11,27.27%,10.6
2026-06-28,5,13,38.46%,1.8
2026-06-29,8,16,50%,1.4
2026-06-30,4,15,26.67%,8.3
2026-07-01,1,11,9.09%,11.1
2026-07-02,2,10,20%,9.3
2026-07-03,3,12,25%,5.9
2026-07-04,7,12,58.33%,8
2026-07-05,3,14,21.43%,4.6
2026-07-06,4,19,21.05%,6.5
2026-07-07,13,42,30.95%,4.9
2026-07-08,3,22,13.64%,6.7
2026-07-09,6,37,16.22%,9.2
2026-07-10,18,75,24%,4.4
2026-07-11,9,39,23.08%,3.5
2026-07-12,10,51,19.61%,4.1
2026-07-13,11,45,24.44%,4.4
2026-07-14,11,55,20%,4.6
2026-07-15,9,61,14.75%,5.3
2026-07-16,11,46,23.91%,6.6
2026-07-17,14,46,30.43%,5.3
2026-07-18,10,29,34.48%,3.9
2026-07-19,8,42,19.05%,12.7
2026-07-20,15,71,21.13%,7.1
2026-07-21,20,60,33.33%,3.6
2026-07-22,21,50,42%,3.8
2026-07-23,18,51,35.29%,4.4
2026-07-24,10,51,19.61%,3.9
2026-07-25,6,20,30%,4.3
2026-07-26,4,32,12.5%,7.9
2026-07-27,13,51,25.49%,4.6
2026-07-28,18,79,22.78%,2.8
2026-07-29,15,77,19.48%,4.6
2026-07-30,15,62,24.19%,6.7
2026-07-31,17,55,30.91%,4.4
2026-08-01,11,32,34.38%,4.5
2026-08-02,16,37,43.24%,4.5
2026-08-03,15,53,28.3%,4.4
2026-08-04,33,65,50.77%,4
2026-08-05,24,75,32%,5.3
2026-08-06,31,99,31.31%,4.2
2026-08-07,46,86,53.49%,3.1
2026-08-08,14,56,25%,5
2026-08-09,9,44,20.45%,7.1
2026-08-10,20,74,27.03%,4.3
2026-08-11,12,65,18.46%,6.3
2026-08-12,14,45,31.11%,4.3
